,graphic novels,cartoons and comics,humorous stories,mystery fiction,stories in rhyme juvenile fiction,friendship fiction,schools fiction,comic books strips etc,fantasy fiction,dogs fiction,animals fiction,cats juvenile fiction,suspense fiction,magic fiction,stories in rhyme,historical fiction,mice juvenile fiction,domestic fiction,brothers and sisters fiction,psychological fiction,comics graphic works,friendship juvenile fiction,bears juvenile fiction,picture books,mystery and detective stories
201509,10199,1875,6591,4455,3385,6002,2637,191,2939,2318,1827,1650,2446,2854,1731,2610,2059,1617,819,889,48,386,881,16,931
201510,8209,1535,6584,4904,4097,5968,2460,130,2438,2522,1858,1724,2443,2334,2108,2590,1970,1657,896,796,73,491,844,13,932
201511,8572,1647,6337,4694,3043,6087,2086,110,2210,2166,1721,1374,2196,2298,1909,2328,1728,1327,630,669,62,556,839,,657
201512,6917,1514,4624,4868,2050,4400,1573,77,1908,1255,1173,1065,2174,1696,1346,2348,1350,1329,430,775,105,403,555,,369
201601,8326,2077,5974,5126,2969,6169,2189,98,2042,1934,1533,1422,2320,2004,1637,2535,1588,1745,625,732,49,590,812,,656
201602,7483,2032,5305,4289,2293,5067,1773,61,1714,1532,1414,1373,1795,1565,1687,2350,1418,1550,515,626,37,545,710,,430
201603,8789,2249,5964,4681,2785,5767,2057,64,2197,1901,1656,1571,1881,1836,2052,2265,1708,1833,681,666,68,673,842,,426
201604,9028,2331,4956,4106,2019,4976,1718,87,1979,1365,1300,1447,1610,1767,1491,2119,1430,1704,572,718,87,522,566,,605
201605,8745,2132,5670,3868,2035,5162,1918,117,2053,1422,1303,1335,1624,1778,1546,2090,1219,1830,507,759,90,508,698,,490
201606,10092,2480,6460,4056,1851,5540,2123,130,2529,1455,1312,1408,1951,2134,1511,2280,1561,1899,526,797,130,587,639,24,753
201607,11191,2558,6121,3922,2011,5758,2302,124,2517,1550,1392,1454,1855,2099,1601,2271,1388,1948,669,961,148,608,752,14,922
201608,11346,2539,6148,4008,1900,5460,2515,91,2580,1454,1268,1364,1897,2176,1625,2374,1753,1916,685,888,167,587,704,16,639
201609,8489,2083,5602,3561,2336,5347,2271,102,1974,1612,1608,1471,1667,1875,2023,2220,1524,1896,622,864,152,580,614,74,566
201610,11069,2595,7542,3462,3253,7109,2712,122,2175,2233,2025,2195,1611,2349,2828,2760,1883,2487,881,1081,209,772,1232,285,602
201611,10142,2588,6811,2952,2717,6568,2321,121,1999,1797,1897,2009,1313,1765,2667,2537,1771,2349,707,1116,165,751,1041,278,417
201612,9091,2420,5180,2716,1768,4657,1772,119,1819,1297,1123,1328,1331,1498,1772,2685,1419,2558,507,1113,159,560,753,289,252
201701,9647,2084,5956,2552,2365,5828,2144,105,2010,1574,1463,1759,1168,1607,2310,2696,1577,2518,615,1188,157,610,960,395,241
201702,8198,1845,5044,1782,1837,4836,1789,80,1626,1200,1205,1309,753,1352,2177,2377,1346,1990,403,1187,117,601,643,440,274
201703,9979,2583,6186,1913,2663,5878,2005,138,2447,1732,1568,1768,894,1733,2673,2830,1399,2159,599,1471,208,639,999,599,373
201704,10367,2627,5829,1727,2089,5040,1826,106,2264,1476,1289,1623,720,1422,2366,2992,1346,1990,487,1332,144,539,904,670,107
201705,10106,2623,5785,1367,1724,5040,1496,126,2443,1306,1114,1460,705,1343,2243,2945,1232,2469,628,1874,189,523,665,796,116
201706,13657,3090,6858,1575,1880,5874,2240,109,3034,1505,1291,1588,1037,1730,2269,2905,1492,2619,707,1997,208,749,815,875,445
201707,15881,3413,7761,1746,1797,6823,2685,152,3466,1889,1383,1673,748,1878,2369,3530,1725,3124,738,2413,228,795,888,1159,699
201708,15392,3263,7633,1658,1949,6593,2585,117,3272,1873,1428,1589,589,1836,2440,3339,1646,3477,836,2176,161,732,1039,1351,363
201709,11413,2485,6500,1245,2189,6295,2341,94,2699,1583,1313,1745,465,1314,2784,2997,1643,3573,599,1823,82,811,843,1515,272
201710,11927,2482,7024,1086,2744,6428,2219,148,2557,1953,1536,1824,451,1397,3272,3530,1622,3265,711,1628,147,954,981,2231,429
201711,11430,2242,6902,996,2217,3426,1121,105,1864,544,593,2032,421,1023,3332,3318,1650,2377,341,1394,162,3030,1043,2542,511
201712,10722,2283,5054,998,1581,2603,799,99,2966,366,485,1612,297,1112,2189,3822,1302,2059,203,2092,96,2274,927,2040,319
201801,12356,2488,7725,1106,2097,3423,1157,85,3739,594,593,2125,347,917,3019,3972,1990,2261,398,2247,120,3174,1558,2808,383
201802,9551,2024,6322,749,1592,2601,887,59,2811,466,481,1643,227,870,2333,3911,1830,2356,380,1828,74,2213,1199,2121,283
201803,12197,2335,7741,807,1874,2991,1040,122,3424,510,622,1948,226,835,2975,4643,1924,3600,458,2409,80,2775,1276,3054,401
201804,11969,2238,7346,675,1815,2624,1162,126,3163,512,534,1683,144,664,2791,4274,1697,3490,337,2113,81,2381,1428,3001,406
201805,11834,2156,6644,634,1580,2564,1073,185,2747,579,549,1661,221,615,2553,4156,1517,3449,334,2064,61,2044,1190,2673,251
201806,14420,3005,7564,881,1833,3085,1394,163,3130,640,584,1969,257,868,2900,4798,1775,3930,422,2203,192,2462,1247,2715,619
201807,15389,3004,7969,827,1602,3057,1437,242,3611,598,637,1885,321,934,2664,4406,1965,4255,323,2754,167,2580,1237,2756,507
201808,16357,3494,7761,743,1752,3136,1644,303,3351,676,620,1979,371,872,2998,4162,2040,4096,336,2935,160,2919,1273,3064,497
201809,11939,2590,6558,549,1977,3143,1214,140,2738,634,689,1825,176,742,2850,3821,1739,2952,327,1989,140,2539,1041,2975,398
201810,12445,2468,7187,755,2375,3492,1259,129,2738,678,748,1843,266,811,3636,4672,1950,2834,406,1710,218,2834,1300,3787,355
201811,11426,2413,6976,663,2036,3332,1039,113,2214,503,581,1591,217,832,3216,4416,1743,2276,323,2039,202,2874,1290,3797,287
201812,10498,2235,5295,589,1623,2497,791,96,2275,416,433,1093,176,638,2439,4469,1438,2037,244,2600,212,1974,923,2609,143
201901,12000,2228,7431,617,2042,3388,1155,91,2680,635,655,1541,231,823,3100,4741,1760,2098,356,3056,174,2956,1223,4129,315
201902,8483,1621,5625,403,1546,2526,941,90,1954,459,477,1139,171,695,2441,3805,1422,1763,339,2343,118,2028,980,2834,220
201903,10707,1733,6868,430,1705,2931,927,133,3403,516,561,1360,364,669,3096,4791,1613,1820,406,2499,132,2174,951,3441,335
201904,10470,1759,6848,449,1793,2998,873,115,3131,557,627,1323,542,653,2944,4227,1464,1888,428,2888,116,2241,964,3408,259
201905,10669,1691,6033,398,1836,2645,765,122,2829,537,555,1455,488,532,2695,3596,1383,1726,349,2230,125,2237,816,3635,217
201906,12193,1829,7251,430,1777,3056,958,211,3163,611,552,1484,541,657,2732,4212,1563,3240,378,1681,162,2561,892,4220,306
201907,15130,2030,8023,558,1927,3375,1237,178,3206,617,596,1634,576,703,2913,4017,1618,3612,408,1719,132,3011,834,4577,428
201908,13865,1980,7140,535,1772,3501,1262,111,2899,451,503,1396,815,583,2750,3822,1492,3806,402,1615,618,2481,833,3922,323
201909,12024,1473,7042,577,2181,3368,1254,52,2410,565,650,1653,832,496,3227,3742,1504,3617,356,1393,673,2802,817,4441,251
201910,12789,1676,6961,550,2219,3156,951,45,2712,557,496,1901,771,537,3365,4090,1399,3863,315,1196,714,2829,827,4547,285
201911,12341,1755,6786,481,2039,2933,976,102,2835,514,589,1653,670,430,2907,3695,1484,3563,282,1005,688,2648,815,4584,280
201912,10178,1592,4890,456,1465,2335,586,40,2786,297,348,1203,611,282,2288,3749,1084,3389,176,1084,718,2390,578,3363,184
202001,12348,1941,6453,424,1812,2422,1046,32,3076,534,497,1766,238,353,3099,4175,1547,3509,200,1216,626,3232,725,4487,301
202002,11680,1706,5548,259,1651,2194,788,89,2739,411,473,1363,173,390,2321,3509,1245,3284,214,1058,527,2352,542,3982,260
